"","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-BT-A20U-01A-11R-A14Y-07","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-BL-A13J-01A-11R-A277-07","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-GC-A6I3-01A-11R-A31N-07","TCGA-BL-A13J-01B-04R-A277-07","TCGA-K4-A54R-01A-11R-A26T-07","TCGA-BT-A20Q-01A-11R-A14Y-07","TCGA-BT-A20N-01A-11R-A14Y-07","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-BT-A2LA-01A-11R-A18C-07","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-GD-A3OQ-01A-32R-A220-07","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20R-01A-12R-A16R-07","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-K4-A5RI-01A-11R-A28M-07","TCGA-GC-A3WC-01A-31R-A22U-07","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-BT-A2LB-01A-11R-A18C-07","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GD-A2C5-01A-12R-A180-07","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-K4-A3WV-01A-11R-A22U-07","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-BL-A13J-11A-13R-A10U-07"
"L1HS_intergenic_1__121734419_121736567",0.00860335,0,0.0161574,0,0,0,0.00520008,0,0,0.0141563,0,0.0856717,0,0,0,0.146113,0.0164056,0,0,0.201631,0.119803,0,0,0.0802854,0,0.075582,0.0113752,0,0.0893264,0,0,0.00801646,0,0,0,0,0.0415832,0,0,0
"L1HS_intergenic_1__122229391_122229886",0.138673,0,0,0,0.0611316,0,0.016698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734826,0,0,0,0,0.35129,0.115141,0.0969925,0,0,0,0.0958929,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__125110563_125111196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__125111197_125111554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__144549172_144549598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__145147164_145147365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__146717193_146723218",0,0,0,0.0172042,0,0,0.333932,0,0,0.0235067,0,0,0,0.0438919,0,0,0,0.0108945,0,0,0,0,0,0,0,0,0.00255257,0,0,0,0,0,0,0,0,0,0,0.0160915,0,0
"L1HS_intron_1__150602737_150602846",0,0,0,0,0,0,0,0,0.394312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747514,0,0
"L1HS_intergenic_1__152489882_152491692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00536688,0,0,0,0,0,0,0.0482313,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__153278498_153279307",0,0,0,0,0,0,0.0146525,0,0,0.0439902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__153279292_153279730",0,0,0,0,0,0,0.0267071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740102,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__158233127_158234190",0,0,0,0,0,0,0.00907332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__158267627_158268392",0,0,0,0,0,0,0.0100408,0,0,0,0,0,0,0,0,0,0,0.0446795,0,0,0,0,0,0,0,0,0.0488463,0,0,0,0,0,0,0,0,0.0306264,0,0,0,0
"L1HS_intergenic_1__158268393_158268869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__159532795_159532964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
